State,Year,Population
Alabama,2002,4471462
Alabama,2003,4489876
Alabama,2004,4510588
Alabama,2005,4542912
Alabama,2006,4594911
Alabama,2007,4634063
Alabama,2008,4673889
Alabama,2009,4707496
Alabama,2010,4729656
Alabama,2011,4799069
Alabama,2012,4815588
Alabama,2013,4830081
Alabama,2014,4841799
Alabama,2015,4852347
Alabama,2016,4863525
Alabama,2017,4874486
Alabama,2018,4887681
Alabama,2019,4903185
Alabama,2020,5024803
Alabama,2021,5039877
Alaska,2002,641974
Alaska,2003,647671
Alaska,2004,659305
Alaska,2005,667114
Alaska,2006,675322
Alaska,2007,679893
Alaska,2008,685532
Alaska,2009,694690
Alaska,2010,708862
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alaska,2015,737498
Alaska,2016,741456
Alaska,2017,739700
Alaska,2018,735139
Alaska,2019,731545
Alaska,2020,732441
Alaska,2021,732673
Arizona,2002,5451472
Arizona,2003,5590820
Arizona,2004,5758692
Arizona,2005,5973970
Arizona,2006,6190987
Arizona,2007,6360238
Arizona,2008,6499207
Arizona,2009,6587653
Arizona,2010,6676627
Arizona,2011,6472643
Arizona,2012,6554978
Arizona,2013,6632764
Arizona,2014,6730413
Arizona,2015,6829676
Arizona,2016,6941072
Arizona,2017,7044008
Arizona,2018,7158024
Arizona,2019,7278717
Arizona,2020,7177986
Arizona,2021,7276316
Arkansas,2002,2704471
Arkansas,2003,2722804
Arkansas,2004,2746215
Arkansas,2005,2776257
Arkansas,2006,2814910
Arkansas,2007,2841595
Arkansas,2008,2867099
Arkansas,2009,2887331
Arkansas,2010,2910236
Arkansas,2011,2940667
Arkansas,2012,2952164
Arkansas,2013,2959400
Arkansas,2014,2967392
Arkansas,2015,2978048
Arkansas,2016,2989918
Arkansas,2017,3001345
Arkansas,2018,3009733
Arkansas,2019,3017804
Arkansas,2020,3012232
Arkansas,2021,3025891
California,2002,34867773
California,2003,35236589
California,2004,35538256
California,2005,35770688
California,2006,35947461
California,2007,36185908
California,2008,36538008
California,2009,36887615
California,2010,37266600
California,2011,37638369
California,2012,37948800
California,2013,38260787
California,2014,38596972
California,2015,38918045
California,2016,39167117
California,2017,39358497
California,2018,39461588
California,2019,39512223
California,2020,39499738
California,2021,39237836
Colorado,2002,4502883
Colorado,2003,4545766
Colorado,2004,4595674
Colorado,2005,4655731
Colorado,2006,4747872
Colorado,2007,4837229
Colorado,2008,4928676
Colorado,2009,5015155
Colorado,2010,5095309
Colorado,2011,5121108
Colorado,2012,5192647
Colorado,2013,5269035
Colorado,2014,5350101
Colorado,2015,5450623
Colorado,2016,5539215
Colorado,2017,5611885
Colorado,2018,5691287
Colorado,2019,5758736
Colorado,2020,5784308
Colorado,2021,5812069
Connecticut,2002,3448145
Connecticut,2003,3468319
Connecticut,2004,3474379
Connecticut,2005,3477185
Connecticut,2006,3484531
Connecticut,2007,3488084
Connecticut,2008,3502664
Connecticut,2009,3514826
Connecticut,2010,3526937
Connecticut,2011,3588283
Connecticut,2012,3594547
Connecticut,2013,3594841
Connecticut,2014,3594524
Connecticut,2015,3587122
Connecticut,2016,3578141
Connecticut,2017,3573297
Connecticut,2018,3571520
Connecticut,2019,3565287
Connecticut,2020,3600260
Connecticut,2021,3605597
Delaware,2002,804636
Delaware,2003,815525
Delaware,2004,827154
Delaware,2005,840296
Delaware,2006,853301
Delaware,2007,865314
Delaware,2008,876794
Delaware,2009,884124
Delaware,2010,891464
Delaware,2011,907381
Delaware,2012,915179
Delaware,2013,923576
Delaware,2014,932487
Delaware,2015,941252
Delaware,2016,948921
Delaware,2017,956823
Delaware,2018,965479
Delaware,2019,973764
Delaware,2020,991886
Delaware,2021,1003384
District of Columbia,2002,1159472
District of Columbia,2003,1155688
District of Columbia,2004,1159780
District of Columbia,2005,1164098
District of Columbia,2006,1167682
District of Columbia,2007,1171832
District of Columbia,2008,1179858
District of Columbia,2009,1199950
District of Columbia,2010,1221178
District of Columbia,2011,619800
District of Columbia,2012,634924
District of Columbia,2013,650581
District of Columbia,2014,662328
District of Columbia,2015,675400
District of Columbia,2016,685815
District of Columbia,2017,694906
District of Columbia,2018,701547
District of Columbia,2019,705749
District of Columbia,2020,690093
District of Columbia,2021,670050
Florida,2002,16675166
Florida,2003,16974177
Florida,2004,17366358
Florida,2005,17773291
Florida,2006,18076361
Florida,2007,18262096
Florida,2008,18410241
Florida,2009,18509936
Florida,2010,18678049
Florida,2011,19053237
Florida,2012,19297822
Florida,2013,19545621
Florida,2014,19845911
Florida,2015,20209042
Florida,2016,20613477
Florida,2017,20963613
Florida,2018,21244317
Florida,2019,21477737
Florida,2020,21569932
Florida,2021,21781128
Georgia,2002,8582756
Georgia,2003,8727810
Georgia,2004,8907292
Georgia,2005,9090479
Georgia,2006,9323575
Georgia,2007,9526642
Georgia,2008,9690277
Georgia,2009,9813588
Georgia,2010,9908357
Georgia,2011,9802431
Georgia,2012,9901430
Georgia,2013,9972479
Georgia,2014,10067278
Georgia,2015,10178447
Georgia,2016,10301890
Georgia,2017,10410330
Georgia,2018,10511131
Georgia,2019,10617423
Georgia,2020,10725800
Georgia,2021,10799566
Hawaii,2002,1226410
Hawaii,2003,1231632
Hawaii,2004,1246872
Hawaii,2005,1259147
Hawaii,2006,1269228
Hawaii,2007,1269796
Hawaii,2008,1280001
Hawaii,2009,1288285
Hawaii,2010,1300086
Hawaii,2011,1379329
Hawaii,2012,1394804
Hawaii,2013,1408243
Hawaii,2014,1414538
Hawaii,2015,1422052
Hawaii,2016,1427559
Hawaii,2017,1424393
Hawaii,2018,1420593
Hawaii,2019,1415872
Hawaii,2020,1451911
Hawaii,2021,1441553
Idaho,2002,1341704
Idaho,2003,1363672
Idaho,2004,1391127
Idaho,2005,1425226
Idaho,2006,1463631
Idaho,2007,1498390
Idaho,2008,1526295
Idaho,2009,1544465
Idaho,2010,1559796
Idaho,2011,1583910
Idaho,2012,1595324
Idaho,2013,1611206
Idaho,2014,1631112
Idaho,2015,1651059
Idaho,2016,1682380
Idaho,2017,1717715
Idaho,2018,1750536
Idaho,2019,1787065
Idaho,2020,1847772
Idaho,2021,1900923
Illinois,2002,12557032
Illinois,2003,12599246
Illinois,2004,12644218
Illinois,2005,12672835
Illinois,2006,12714588
Illinois,2007,12775864
Illinois,2008,12836402
Illinois,2009,12893278
Illinois,2010,12944410
Illinois,2011,12867454
Illinois,2012,12882510
Illinois,2013,12895129
Illinois,2014,12884493
Illinois,2015,12858913
Illinois,2016,12820527
Illinois,2017,12778828
Illinois,2018,12723071
Illinois,2019,12671821
Illinois,2020,12785245
Illinois,2021,12671469
Indiana,2002,6148648
Indiana,2003,6184552
Indiana,2004,6214844
Indiana,2005,6253142
Indiana,2006,6300341
Indiana,2007,6344771
Indiana,2008,6386601
Indiana,2009,6417276
Indiana,2010,6445295
Indiana,2011,6516528
Indiana,2012,6537703
Indiana,2013,6568713
Indiana,2014,6593644
Indiana,2015,6608422
Indiana,2016,6634304
Indiana,2017,6658078
Indiana,2018,6695497
Indiana,2019,6732219
Indiana,2020,6785644
Indiana,2021,6805985
Iowa,2002,2929379
Iowa,2003,2934585
Iowa,2004,2942311
Iowa,2005,2950517
Iowa,2006,2965203
Iowa,2007,2979867
Iowa,2008,2994658
Iowa,2009,3008331
Iowa,2010,3023081
Iowa,2011,3066336
Iowa,2012,3076190
Iowa,2013,3092997
Iowa,2014,3109350
Iowa,2015,3120960
Iowa,2016,3131371
Iowa,2017,3141550
Iowa,2018,3148618
Iowa,2019,3155070
Iowa,2020,3188669
Iowa,2021,3193079
Kansas,2002,2711741
Kansas,2003,2720361
Kansas,2004,2729378
Kansas,2005,2739997
Kansas,2006,2754018
Kansas,2007,2773740
Kansas,2008,2795257
Kansas,2009,2817430
Kansas,2010,2841121
Kansas,2011,2869225
Kansas,2012,2885257
Kansas,2013,2893212
Kansas,2014,2900475
Kansas,2015,2909011
Kansas,2016,2910844
Kansas,2017,2908718
Kansas,2018,2911359
Kansas,2019,2913314
Kansas,2020,2935880
Kansas,2021,2934582
Kentucky,2002,4090824
Kentucky,2003,4117691
Kentucky,2004,4145777
Kentucky,2005,4179655
Kentucky,2006,4216783
Kentucky,2007,4254513
Kentucky,2008,4287259
Kentucky,2009,4312268
Kentucky,2010,4339435
Kentucky,2011,4369821
Kentucky,2012,4386346
Kentucky,2013,4404659
Kentucky,2014,4414349
Kentucky,2015,4425976
Kentucky,2016,4438182
Kentucky,2017,4452268
Kentucky,2018,4461153
Kentucky,2019,4467673
Kentucky,2020,4503958
Kentucky,2021,4509394
Louisiana,2002,4465089
Louisiana,2003,4473198
Louisiana,2004,4487246
Louisiana,2005,4495113
Louisiana,2006,4237693
Louisiana,2007,4373448
Louisiana,2008,4448806
Louisiana,2009,4489490
Louisiana,2010,4529426
Louisiana,2011,4575625
Louisiana,2012,4600972
Louisiana,2013,4624527
Louisiana,2014,4644013
Louisiana,2015,4664628
Louisiana,2016,4678135
Louisiana,2017,4670560
Louisiana,2018,4659690
Louisiana,2019,4648794
Louisiana,2020,4651203
Louisiana,2021,4624047
Maine,2002,1293181
Maine,2003,1302365
Maine,2004,1307227
Maine,2005,1310424
Maine,2006,1313479
Maine,2007,1315749
Maine,2008,1318133
Maine,2009,1315889
Maine,2010,1312939
Maine,2011,1328284
Maine,2012,1327729
Maine,2013,1328009
Maine,2014,1330513
Maine,2015,1328262
Maine,2016,1331317
Maine,2017,1334612
Maine,2018,1339057
Maine,2019,1344212
Maine,2020,1362280
Maine,2021,1372247
Maryland,2002,5437880
Maryland,2003,5491971
Maryland,2004,5537913
Maryland,2005,5576889
Maryland,2006,5605552
Maryland,2007,5627211
Maryland,2008,5650870
Maryland,2009,5688399
Maryland,2010,5737274
Maryland,2011,5839419
Maryland,2012,5886992
Maryland,2013,5923188
Maryland,2014,5957283
Maryland,2015,5985562
Maryland,2016,6003323
Maryland,2017,6023868
Maryland,2018,6035802
Maryland,2019,6045680
Maryland,2020,6172679
Maryland,2021,6165129
Massachusetts,2002,6440762
Massachusetts,2003,6455028
Massachusetts,2004,6452636
Massachusetts,2005,6453694
Massachusetts,2006,6466069
Massachusetts,2007,6499672
Massachusetts,2008,6544089
Massachusetts,2009,6592205
Massachusetts,2010,6631280
Massachusetts,2011,6613583
Massachusetts,2012,6663005
Massachusetts,2013,6713315
Massachusetts,2014,6762596
Massachusetts,2015,6794228
Massachusetts,2016,6823608
Massachusetts,2017,6859789
Massachusetts,2018,6882635
Massachusetts,2019,6892503
Massachusetts,2020,7022220
Massachusetts,2021,6984723
Michigan,2002,10039223
Michigan,2003,10072219
Michigan,2004,10091511
Michigan,2005,10092426
Michigan,2006,10082414
Michigan,2007,10051145
Michigan,2008,9999456
Michigan,2009,9955260
Michigan,2010,9931235
Michigan,2011,9882412
Michigan,2012,9897145
Michigan,2013,9913065
Michigan,2014,9929848
Michigan,2015,9931715
Michigan,2016,9950571
Michigan,2017,9973114
Michigan,2018,9984072
Michigan,2019,9986857
Michigan,2020,10067664
Michigan,2021,10050811
Midwest Region,2011,67157800
Midwest Region,2012,67336743
Midwest Region,2013,67560379
Midwest Region,2014,67745167
Midwest Region,2015,67860583
Midwest Region,2016,67987540
Midwest Region,2017,68126781
Midwest Region,2018,68236628
Midwest Region,2019,68329004
Midwest Region,2020,68935174
Midwest Region,2021,68841444
Minnesota,2002,5017355
Minnesota,2003,5050393
Minnesota,2004,5080031
Minnesota,2005,5106992
Minnesota,2006,5147857
Minnesota,2007,5191267
Minnesota,2008,5230247
Minnesota,2009,5262824
Minnesota,2010,5290447
Minnesota,2011,5346143
Minnesota,2012,5376643
Minnesota,2013,5413479
Minnesota,2014,5451079
Minnesota,2015,5482032
Minnesota,2016,5522744
Minnesota,2017,5566230
